N,P,K,temperature,humidity,ph,rainfall,label
13,53,203,27.88,90.81,5.96,136.55,watermelon
19,48,204,27.18,89.96,6.41,142.41,watermelon
13,54,199,29.17,90.78,6.34,156.35,watermelon
17,57,202,26.75,93.4,6.92,139.27,watermelon
11,55,205,26.52,87.37,6.23,157.93,watermelon
13,57,200,27.01,89.01,6.21,139.95,watermelon
9,57,201,27.38,85.84,6.92,143.46,watermelon
11,59,198,27.51,89.78,6.5,146.89,watermelon
17,53,204,29.49,86.59,6.74,157.74,watermelon
17,51,199,28.75,91.23,6.51,151.81,watermelon
12,54,201,27.79,89.27,6.86,152.29,watermelon
19,57,202,26.71,88.06,5.96,154.17,watermelon
9,59,199,27.63,92.67,6.66,156.12,watermelon
13,59,200,29.95,90.8,6.43,158.79,watermelon
14,57,201,27.74,91.46,6.7,137.35,watermelon
10,54,202,27.16,90.73,6.97,152.57,watermelon
16,48,203,27.34,88.94,6.08,153.98,watermelon
19,48,202,27.84,89.45,6.49,139.13,watermelon
16,54,203,27.52,92.48,6.15,163.8,watermelon
19,58,202,28.28,91.37,6.46,153.95,watermelon
17,57,196,28.2,90.8,5.83,135.9,watermelon
16,50,204,28.67,90.37,6.27,144.59,watermelon
11,51,199,27.01,90.24,6.71,136.28,watermelon
16,53,202,29.14,93.92,5.82,150.34,watermelon
8,51,205,28.06,89.35,6.02,139.7,watermelon
10,58,205,27.17,93.78,6.63,163.76,watermelon
13,56,197,27.19,89.65,6.82,163.5,watermelon
12,53,201,26.62,87.99,6.02,141.51,watermelon
18,50,205,27.31,93.5,6.36,155.27,watermelon
16,53,198,29.61,92.08,5.96,158.97,watermelon
17,54,200,26.19,90.99,5.81,156.27,watermelon
15,55,198,27.88,89.3,6.56,155.57,watermelon
10,54,205,27.65,93.46,6.99,152.89,watermelon
13,51,199,29.55,93.81,6.53,149.93,watermelon
16,53,203,29.59,91.75,6.35,157.52,watermelon
10,57,199,27.69,90.91,6.09,164.69,watermelon
8,49,203,27.55,93.9,6.9,146.15,watermelon
9,52,201,28.91,93.01,6.39,144.61,watermelon
8,59,203,28.98,90.95,6.01,155.66,watermelon
15,51,200,27.54,93.53,6.3,155.35,watermelon
19,50,199,27.04,91.28,6.75,141.14,watermelon
12,59,197,28.29,86.58,6.95,148.24,watermelon
12,51,198,29.47,85.34,6.18,153.89,watermelon
18,52,205,26.87,85.15,6.58,141.03,watermelon
9,59,203,26.22,91.11,6.27,136.69,watermelon
14,58,205,29.24,92.62,5.87,144.01,watermelon
18,49,198,28.62,91.89,6.87,140.86,watermelon
19,56,203,29.97,90.68,6.53,145.95,watermelon
9,59,204,29.06,90.36,6.5,151.32,watermelon
13,53,196,27.44,89.65,6.5,158.11,watermelon
13,59,202,29.68,88.46,6.72,162.91,watermelon
11,56,197,29.29,89.3,5.86,138.82,watermelon
10,57,204,26.85,86.16,6.41,140.85,watermelon
17,53,197,27.0,91.82,6.81,143.61,watermelon
12,53,202,28.97,93.92,6.43,140.18,watermelon
15,52,203,27.41,88.72,5.9,148.07,watermelon
19,52,201,26.63,86.98,6.24,161.49,watermelon
16,51,200,26.1,93.89,6.32,135.17,watermelon
16,57,201,29.48,86.6,6.91,158.92,watermelon
12,49,204,28.11,89.48,6.25,161.81,watermelon
12,58,202,27.2,93.49,6.29,154.93,watermelon
18,53,200,28.7,87.89,6.35,139.53,watermelon
14,49,196,29.86,93.99,6.94,156.78,watermelon
8,54,205,27.92,88.63,6.17,163.07,watermelon
12,48,202,28.17,90.85,6.18,135.32,watermelon
8,58,201,28.72,88.78,6.51,159.11,watermelon
11,53,196,26.85,89.78,6.73,151.44,watermelon
13,50,199,28.54,88.5,6.2,163.08,watermelon
10,57,200,28.98,88.68,6.07,163.58,watermelon
14,58,197,29.46,91.23,6.9,140.11,watermelon
9,59,199,26.73,89.36,6.05,161.58,watermelon
13,51,199,27.29,86.48,6.52,135.26,watermelon
18,48,200,29.01,85.24,6.37,162.27,watermelon
14,49,196,27.42,90.29,6.34,164.3,watermelon
12,48,201,28.97,87.85,5.94,151.7,watermelon
13,51,205,26.93,88.92,6.05,148.24,watermelon
14,52,200,27.2,91.73,6.62,145.39,watermelon
15,52,197,26.45,90.69,6.44,163.78,watermelon
11,57,202,27.56,93.27,6.09,151.93,watermelon
10,53,200,27.93,87.13,6.57,137.38,watermelon
10,51,200,27.48,93.12,5.89,160.72,watermelon
15,59,203,29.33,89.22,6.25,152.78,watermelon
16,58,198,28.92,92.33,5.85,158.37,watermelon
19,51,196,27.15,91.65,6.33,146.39,watermelon
14,51,199,28.27,90.14,6.13,162.77,watermelon
11,49,202,29.48,85.93,5.96,153.3,watermelon
10,58,196,29.92,88.66,6.08,146.16,watermelon
17,58,199,29.78,87.82,6.89,152.56,watermelon
14,54,205,26.63,86.67,6.64,152.83,watermelon
18,54,201,29.06,87.93,6.36,154.55,watermelon
14,57,203,29.94,89.19,6.93,142.43,watermelon
15,53,198,28.56,89.64,6.1,148.12,watermelon
12,48,201,28.28,89.49,6.77,162.9,watermelon
19,57,203,28.74,87.63,7.0,154.85,watermelon
13,49,200,29.78,93.05,6.68,164.12,watermelon
16,56,196,27.77,87.08,6.02,163.49,watermelon
12,49,201,27.38,88.47,5.82,153.63,watermelon
16,56,200,26.48,89.13,6.18,152.52,watermelon
18,59,205,27.77,87.5,6.57,151.61,watermelon
16,55,204,28.21,91.04,6.98,155.14,watermelon
11,53,203,29.06,91.22,6.77,145.94,watermelon
16,52,202,26.57,89.69,6.84,163.37,watermelon
8,53,202,26.1,85.74,6.03,136.36,watermelon
15,53,196,26.51,85.96,6.27,142.27,watermelon
13,48,205,27.93,93.5,6.92,141.73,watermelon
14,57,203,26.45,93.81,6.67,140.12,watermelon
9,53,200,26.01,92.98,6.63,151.99,watermelon
17,54,201,26.13,90.03,6.62,150.06,watermelon
19,53,205,28.06,86.11,6.33,140.97,watermelon
12,52,200,29.74,89.27,6.25,163.02,watermelon
14,53,198,29.66,92.12,6.15,159.33,watermelon
11,56,202,29.55,89.33,6.59,145.61,watermelon
8,48,199,29.3,91.74,6.58,157.12,watermelon
14,48,201,27.28,87.93,6.34,141.34,watermelon
13,51,199,27.89,86.34,6.43,139.59,watermelon
19,48,198,27.48,92.1,6.68,163.09,watermelon
11,50,200,26.06,91.04,6.31,155.42,watermelon
9,52,199,27.53,88.93,6.08,143.54,watermelon
16,53,202,26.18,85.37,6.8,145.07,watermelon
11,59,201,26.55,90.64,5.83,161.22,watermelon
14,56,205,27.54,90.46,6.17,142.26,watermelon
13,52,202,29.58,92.42,6.93,162.61,watermelon
10,55,198,26.87,87.64,5.97,139.94,watermelon
12,57,205,26.39,85.35,6.68,142.07,watermelon
8,57,198,28.57,86.66,6.13,154.08,watermelon
17,55,203,27.61,87.23,6.53,158.11,watermelon
16,51,198,29.63,91.39,5.82,156.04,watermelon
18,56,204,28.17,91.63,6.39,139.97,watermelon
11,51,202,27.51,91.65,5.86,152.39,watermelon
19,50,200,26.06,90.31,6.96,161.63,watermelon
19,59,205,26.41,93.04,6.08,153.8,watermelon
11,55,202,28.2,88.28,5.92,142.57,watermelon
11,52,205,27.48,87.08,5.99,145.48,watermelon
13,49,200,28.0,88.55,6.72,139.85,watermelon
17,58,199,27.99,91.71,6.5,144.27,watermelon
11,48,196,28.26,89.55,6.74,138.59,watermelon
18,55,196,27.35,89.46,6.92,136.1,watermelon
11,52,205,26.33,92.51,6.72,148.43,watermelon
18,52,204,27.05,85.94,6.02,142.84,watermelon
19,56,201,28.53,90.4,6.75,157.16,watermelon
11,59,198,28.64,92.55,6.76,138.44,watermelon
10,56,200,26.18,90.35,6.38,147.86,watermelon
8,50,201,26.77,87.22,6.27,144.76,watermelon
9,58,204,28.68,85.02,6.76,143.44,watermelon
16,51,198,29.05,87.43,6.76,148.06,watermelon
9,52,198,27.3,88.07,5.9,140.92,watermelon
17,53,197,26.35,89.8,6.93,160.89,watermelon
12,48,196,28.67,87.46,5.96,164.03,watermelon
12,49,200,26.03,88.62,6.45,154.16,watermelon
14,51,204,29.69,91.27,6.33,149.12,watermelon
9,50,199,28.77,86.66,6.54,149.66,watermelon
19,56,198,27.63,86.43,6.1,139.64,watermelon
12,53,205,27.72,87.62,6.86,145.07,watermelon
14,54,197,28.54,87.64,6.26,164.09,watermelon
15,53,198,28.74,93.78,6.15,153.21,watermelon
10,48,200,27.39,92.96,5.99,160.99,watermelon
16,58,200,27.04,92.33,6.96,135.14,watermelon
16,50,202,29.59,90.82,6.05,140.6,watermelon
10,52,205,28.84,86.86,5.93,148.51,watermelon
8,50,196,26.83,91.13,6.07,140.99,watermelon
15,57,202,29.55,85.86,5.82,146.94,watermelon
11,57,197,27.69,89.84,6.84,161.14,watermelon
10,54,202,29.66,90.8,6.24,140.82,watermelon
9,51,204,29.58,90.07,6.45,137.83,watermelon
13,51,196,27.27,92.23,5.83,146.33,watermelon
13,54,204,26.94,88.42,5.87,146.92,watermelon
19,52,205,26.7,86.29,6.84,149.83,watermelon
15,49,205,29.84,85.94,6.74,164.79,watermelon
9,59,200,28.56,93.48,6.73,145.12,watermelon
19,49,196,27.16,85.7,6.84,160.33,watermelon
18,53,202,27.58,91.38,6.86,136.93,watermelon
14,55,202,26.74,93.6,6.44,147.55,watermelon
12,59,198,28.21,91.87,6.47,159.29,watermelon
19,49,196,29.82,89.24,6.04,150.76,watermelon
19,48,198,26.79,85.16,6.54,153.08,watermelon
19,48,196,29.38,91.65,6.27,146.93,watermelon
8,48,197,28.61,87.56,6.14,159.76,watermelon
18,53,201,28.14,89.77,6.01,141.93,watermelon
13,54,204,29.76,86.37,6.74,141.22,watermelon
9,53,202,29.86,87.95,5.84,143.9,watermelon
16,56,201,29.8,93.04,6.39,161.5,watermelon
11,55,201,27.61,87.8,6.52,148.64,watermelon
8,53,202,29.32,86.56,6.98,157.61,watermelon
10,52,201,28.09,89.3,6.22,164.34,watermelon
15,55,198,29.67,89.9,6.45,145.83,watermelon
8,56,203,29.88,90.55,5.87,140.65,watermelon
13,49,202,26.31,87.04,6.24,152.63,watermelon
14,51,198,26.44,91.82,6.61,152.42,watermelon
11,49,196,27.62,85.82,6.54,141.0,watermelon
19,50,197,29.4,88.91,6.98,159.28,watermelon
12,56,198,29.96,91.69,5.96,146.59,watermelon
18,50,197,26.38,85.47,6.46,139.68,watermelon
9,48,196,27.8,90.42,6.5,144.49,watermelon
19,51,199,26.44,90.99,6.49,135.87,watermelon
8,58,196,29.37,91.81,6.2,158.14,watermelon
17,50,199,29.21,93.98,6.24,146.07,watermelon
13,53,199,27.05,87.16,6.93,139.5,watermelon
10,59,201,29.03,89.31,5.92,146.91,watermelon
11,53,197,28.32,93.7,6.24,148.37,watermelon
13,48,199,26.18,89.24,6.4,140.75,watermelon
9,53,202,29.72,92.62,6.39,158.77,watermelon
17,49,205,27.26,89.18,6.9,153.73,watermelon
18,59,201,28.86,88.61,6.67,160.86,watermelon
9,59,199,29.83,85.84,6.11,156.7,watermelon
9,51,204,27.25,88.28,6.17,147.49,watermelon
10,58,205,27.77,93.31,6.36,160.25,watermelon
16,49,204,26.0,88.69,6.52,144.31,watermelon
19,55,201,27.9,92.33,6.03,135.22,watermelon
9,59,196,27.97,92.95,5.91,135.87,watermelon
9,55,196,26.41,86.13,6.06,141.65,watermelon
9,59,202,28.6,89.1,5.84,142.33,watermelon
11,55,199,29.35,87.34,5.84,152.09,watermelon
15,58,205,29.64,87.62,5.96,146.96,watermelon
8,58,200,29.28,86.34,6.15,138.69,watermelon
18,50,203,26.69,93.64,6.65,160.27,watermelon
18,51,205,27.27,87.62,6.27,148.09,watermelon
11,57,197,26.92,92.59,6.57,161.84,watermelon
18,49,196,26.32,93.29,6.11,136.64,watermelon
14,59,201,27.39,90.65,6.21,139.46,watermelon
11,56,199,26.59,92.61,6.39,147.74,watermelon
11,57,198,29.79,91.77,6.12,158.78,watermelon
8,48,199,29.29,85.93,6.63,141.4,watermelon
19,59,197,26.9,91.07,6.57,157.28,watermelon
17,55,203,26.05,89.47,6.52,155.52,watermelon
15,54,201,28.74,87.89,6.7,136.61,watermelon
14,57,198,26.05,85.96,6.61,154.02,watermelon
19,55,200,29.35,87.16,6.12,141.69,watermelon
19,57,204,27.88,88.89,6.52,136.03,watermelon
15,54,199,29.34,88.27,6.09,154.97,watermelon
18,53,204,26.2,93.85,6.75,141.43,watermelon
8,58,197,27.31,88.58,6.49,148.43,watermelon
15,56,199,28.26,87.95,6.75,163.14,watermelon
8,52,205,26.61,85.61,6.12,156.9,watermelon
12,54,199,26.82,92.91,6.53,161.75,watermelon
11,53,202,26.36,88.12,6.12,159.37,watermelon
16,59,202,29.72,88.43,6.69,150.38,watermelon
18,55,201,28.13,91.62,6.59,146.81,watermelon
17,49,197,29.84,92.4,6.35,152.48,watermelon
15,58,197,29.3,86.44,6.09,137.44,watermelon
11,53,197,26.01,91.21,6.8,150.57,watermelon
12,57,200,27.7,91.2,6.64,163.74,watermelon
11,50,203,27.99,91.38,6.03,141.05,watermelon
15,50,200,27.02,93.17,5.92,161.88,watermelon
16,48,198,26.14,90.35,6.88,142.83,watermelon
12,54,196,28.84,87.59,6.21,164.33,watermelon
15,59,197,29.84,92.14,6.07,161.1,watermelon
15,58,204,28.3,88.23,6.82,155.52,watermelon
13,55,205,28.43,88.56,6.61,140.46,watermelon
10,55,200,26.89,91.49,5.92,163.83,watermelon
17,48,201,26.34,87.89,5.92,161.64,watermelon
8,55,196,26.12,87.95,6.25,157.95,watermelon
8,58,200,28.31,93.59,6.8,159.38,watermelon
16,58,197,26.56,91.56,6.02,160.68,watermelon
18,54,203,28.09,87.9,6.64,159.16,watermelon
8,57,203,28.3,86.86,6.8,138.14,watermelon
13,59,205,28.25,88.96,6.42,149.39,watermelon
10,50,205,27.7,93.52,6.46,139.22,watermelon
15,54,202,29.24,86.88,5.88,138.2,watermelon
10,59,204,27.21,91.43,6.45,158.6,watermelon
17,54,197,28.55,93.86,6.33,157.21,watermelon
10,49,198,26.84,85.55,6.1,143.0,watermelon
10,58,199,26.12,92.71,6.86,135.46,watermelon
11,50,199,28.6,89.57,5.96,141.13,watermelon
11,56,202,29.12,85.25,6.47,140.38,watermelon
15,50,205,26.23,93.37,6.67,151.05,watermelon
13,55,201,26.66,88.07,6.38,145.62,watermelon
13,59,200,27.18,87.89,6.82,163.42,watermelon
10,48,203,27.53,88.74,6.87,136.83,watermelon
18,56,198,29.62,85.82,6.49,164.61,watermelon
16,56,205,29.96,90.31,6.2,141.61,watermelon
15,53,203,29.36,87.3,5.87,149.63,watermelon
15,59,196,29.79,89.37,6.56,141.34,watermelon
12,57,201,29.52,93.07,6.14,162.59,watermelon
14,48,197,26.39,86.64,6.12,164.21,watermelon
11,51,201,29.73,87.19,6.23,158.68,watermelon
11,57,205,29.34,90.18,6.53,145.06,watermelon
18,52,205,27.76,90.72,5.96,159.43,watermelon
19,58,203,26.14,88.11,6.46,154.84,watermelon
15,58,199,29.9,87.89,6.9,151.11,watermelon
14,57,203,29.4,89.86,6.76,163.02,watermelon
11,51,199,28.82,93.99,6.69,156.58,watermelon
17,57,200,27.18,86.67,6.96,142.81,watermelon
19,55,205,29.89,93.29,6.91,154.98,watermelon
13,57,198,28.26,86.57,5.94,146.81,watermelon
13,51,203,28.72,85.32,6.98,137.15,watermelon
18,58,196,29.49,88.14,6.55,136.56,watermelon
15,48,196,27.02,92.07,6.94,145.78,watermelon
14,48,196,26.16,87.64,5.83,156.4,watermelon
11,52,202,27.54,92.13,6.15,164.03,watermelon
17,52,199,26.08,93.94,6.46,153.15,watermelon
18,52,197,27.77,85.54,6.96,150.91,watermelon
16,55,203,26.36,89.56,6.0,161.77,watermelon
17,52,197,28.63,85.54,6.61,146.04,watermelon
11,48,198,27.35,85.19,6.84,162.89,watermelon
8,53,196,27.73,87.47,6.94,149.53,watermelon
17,56,199,26.75,91.93,6.78,153.78,watermelon
16,58,203,26.63,87.23,6.5,147.06,watermelon
8,52,205,26.4,89.59,6.9,143.34,watermelon
15,51,203,28.57,90.46,6.71,142.54,watermelon
11,59,201,26.74,93.05,5.88,137.64,watermelon
17,50,200,26.51,93.48,6.62,143.37,watermelon
13,56,204,26.63,90.2,6.7,144.74,watermelon
14,56,198,29.34,93.74,6.89,152.26,watermelon
11,58,201,27.24,88.06,6.71,151.33,watermelon
18,50,205,28.32,90.8,6.15,157.24,watermelon
17,53,196,29.83,91.77,6.37,154.98,watermelon
16,53,204,29.41,89.23,6.05,150.93,watermelon
11,51,197,26.45,85.9,6.45,138.68,watermelon
9,54,200,27.77,92.26,6.32,155.83,watermelon
12,48,202,28.35,90.41,6.87,139.91,watermelon
18,49,201,28.59,86.9,6.34,160.94,watermelon
13,59,196,29.17,88.78,6.83,144.56,watermelon
9,55,204,27.74,92.08,6.76,157.01,watermelon
15,57,200,26.19,87.73,6.13,148.36,watermelon
19,59,205,27.09,88.2,6.34,160.42,watermelon
19,48,205,29.98,91.75,6.64,145.8,watermelon
19,51,198,28.56,92.06,6.63,161.34,watermelon
11,57,197,27.56,90.67,6.39,163.49,watermelon
21,36,28,30.35,87.36,6.0,200.78,grapes
29,39,31,29.84,90.8,6.03,214.23,grapes
18,38,28,33.0,91.29,6.43,209.07,grapes
26,29,33,30.88,88.7,6.06,208.92,grapes
23,34,31,32.52,88.49,6.42,202.99,grapes
29,38,32,31.94,89.52,5.64,198.88,grapes
20,39,32,31.16,90.52,5.28,200.55,grapes
26,31,30,31.57,90.39,6.44,209.71,grapes
21,36,26,32.84,89.22,5.6,190.77,grapes
22,33,32,30.87,88.68,5.21,201.26,grapes
23,31,33,31.35,87.73,6.42,199.56,grapes
22,38,31,32.21,87.4,5.26,188.97,grapes
22,28,29,30.91,85.43,5.94,191.83,grapes
18,36,26,29.25,86.51,6.27,196.31,grapes
26,28,27,32.08,87.1,5.27,214.66,grapes
24,36,32,30.11,86.97,5.83,190.44,grapes
22,34,28,31.44,85.82,5.97,192.71,grapes
28,33,28,29.99,91.94,5.81,202.94,grapes
29,38,28,32.66,89.13,5.14,190.22,grapes
19,37,32,31.25,91.34,6.47,214.81,grapes
25,32,29,30.73,89.06,5.23,203.5,grapes
29,37,30,29.83,88.37,6.32,206.25,grapes
28,31,27,31.0,87.69,5.71,200.94,grapes
21,34,32,29.21,86.71,6.22,207.74,grapes
28,33,27,32.17,91.97,5.86,209.98,grapes
22,32,33,30.32,86.39,5.64,204.67,grapes
19,38,31,30.22,90.42,5.77,206.66,grapes
19,39,31,32.05,88.41,6.33,207.81,grapes
28,34,32,32.44,85.55,5.26,202.22,grapes
23,29,29,30.03,90.52,5.58,204.65,grapes
18,28,29,32.49,90.49,5.9,211.39,grapes
29,32,27,32.0,85.7,5.48,193.95,grapes
25,28,26,29.08,85.54,6.34,200.43,grapes
19,28,30,32.22,86.75,6.03,200.32,grapes
29,30,28,31.12,85.7,5.93,193.99,grapes
22,28,30,30.48,91.32,5.99,188.82,grapes
19,31,28,30.58,90.9,6.43,190.47,grapes
20,28,26,31.79,85.46,6.0,200.45,grapes
24,29,33,30.44,91.66,6.2,214.97,grapes
18,39,31,31.8,91.98,6.46,193.75,grapes
20,38,29,31.53,85.31,6.26,211.62,grapes
19,38,28,29.69,86.1,6.24,214.45,grapes
25,29,32,32.8,89.74,5.39,214.54,grapes
22,30,29,30.08,89.85,5.64,198.88,grapes
20,35,32,32.9,86.9,5.51,207.49,grapes
28,37,26,32.32,89.98,5.05,209.23,grapes
29,32,26,30.26,86.7,5.11,191.04,grapes
29,35,33,32.85,90.69,5.61,210.42,grapes
19,32,32,32.2,89.92,5.41,213.03,grapes
27,39,30,30.67,90.93,5.39,201.57,grapes
28,32,28,30.4,90.86,5.25,196.36,grapes
28,37,29,32.51,89.64,6.04,199.21,grapes
19,36,29,32.41,91.16,6.11,192.3,grapes
27,29,26,31.25,90.79,5.15,189.5,grapes
29,28,26,31.0,90.5,5.5,212.58,grapes
18,30,29,31.19,90.95,5.49,189.26,grapes
21,31,33,32.62,86.95,5.21,214.27,grapes
21,29,29,32.16,85.13,5.81,206.9,grapes
28,28,32,29.91,89.68,5.99,214.45,grapes
28,32,28,31.47,91.96,5.06,191.86,grapes
18,36,31,29.47,86.05,6.36,188.15,grapes
29,35,26,31.61,85.31,5.8,212.35,grapes
20,32,29,31.69,86.58,6.12,209.24,grapes
22,36,31,30.25,85.85,5.69,190.26,grapes
18,37,29,29.32,90.82,5.69,208.46,grapes
19,36,33,29.02,88.14,5.71,194.76,grapes
24,39,28,30.75,88.71,5.64,201.05,grapes
27,33,29,31.75,89.23,5.24,210.34,grapes
24,30,30,29.47,86.44,6.43,203.98,grapes
19,32,29,29.71,87.54,5.73,194.0,grapes
23,37,33,30.12,89.82,6.34,206.3,grapes
19,36,26,31.37,90.66,6.21,206.58,grapes
25,37,30,32.39,91.92,5.81,190.45,grapes
26,29,32,32.19,85.43,5.32,190.59,grapes
18,34,26,30.43,90.77,5.06,189.89,grapes
22,35,31,31.94,87.79,5.36,189.68,grapes
28,39,30,32.54,89.36,5.48,198.57,grapes
28,37,29,30.65,91.88,5.61,209.74,grapes
22,38,33,31.98,87.7,6.48,191.58,grapes
22,39,29,30.95,91.48,6.21,204.71,grapes
20,38,28,32.22,91.96,6.37,198.45,grapes
21,35,30,32.73,90.74,6.23,212.46,grapes
28,33,26,32.36,91.4,5.95,195.76,grapes
19,28,26,29.02,87.73,5.81,201.91,grapes
29,39,27,31.85,90.66,5.85,213.78,grapes
27,31,26,31.81,87.19,5.98,199.18,grapes
26,35,32,31.51,91.21,5.58,203.26,grapes
28,30,28,32.19,86.99,5.7,204.49,grapes
18,37,28,31.22,86.7,5.39,188.4,grapes
23,34,26,32.4,87.98,5.55,214.94,grapes
18,39,26,32.68,90.57,6.35,191.19,grapes
25,39,28,30.96,87.09,5.31,202.64,grapes
27,34,27,30.23,87.68,5.77,201.54,grapes
27,33,28,29.89,85.09,6.04,213.98,grapes
22,31,28,29.22,86.32,5.24,200.64,grapes
19,33,30,31.69,91.86,5.52,207.43,grapes
19,39,30,31.77,91.14,5.95,190.37,grapes
18,36,32,29.41,85.15,6.07,210.27,grapes
23,35,26,30.1,91.84,5.1,199.55,grapes
25,38,27,32.09,88.31,6.05,191.93,grapes
27,34,33,31.34,88.14,5.77,210.61,grapes
20,34,27,30.48,90.96,5.9,198.14,grapes
18,32,29,29.18,85.57,5.45,209.95,grapes
19,33,30,30.19,85.61,5.97,202.45,grapes
27,34,33,30.56,87.01,5.28,196.03,grapes
29,32,31,29.34,87.14,6.11,196.51,grapes
29,39,28,32.81,88.86,5.18,188.86,grapes
24,31,26,30.17,89.91,6.18,213.09,grapes
19,33,30,30.92,87.88,5.34,214.34,grapes
27,29,26,29.62,90.77,5.36,193.99,grapes
24,35,27,31.65,87.71,6.15,196.76,grapes
25,36,27,29.06,85.04,6.17,194.62,grapes
28,39,33,30.71,87.12,5.06,201.49,grapes
19,28,27,30.26,90.14,5.91,213.71,grapes
20,34,28,32.88,88.4,5.79,210.76,grapes
27,39,27,29.76,90.98,5.85,188.8,grapes
25,39,30,30.18,88.5,5.95,200.6,grapes
19,36,29,29.42,88.94,5.99,211.66,grapes
25,38,32,30.62,88.69,6.48,192.69,grapes
25,28,29,32.79,87.71,5.02,208.93,grapes
28,38,30,32.63,85.44,6.36,201.13,grapes
18,36,27,29.69,89.7,5.57,201.6,grapes
18,34,26,30.8,85.94,5.95,190.72,grapes
25,37,33,30.77,86.52,5.06,189.68,grapes
20,34,26,31.18,90.95,6.33,194.98,grapes
28,39,30,29.18,90.74,6.42,212.23,grapes
24,30,29,32.18,88.77,6.38,200.36,grapes
26,29,26,29.4,85.49,6.49,206.57,grapes
23,33,31,30.19,87.24,5.96,211.87,grapes
23,36,27,29.1,88.49,5.83,210.73,grapes
20,34,33,31.57,87.34,6.38,194.51,grapes
19,33,33,31.1,88.48,5.43,212.17,grapes
22,39,29,32.8,85.69,5.95,199.87,grapes
26,31,27,32.88,90.89,6.0,198.47,grapes
19,33,30,32.86,86.76,5.29,191.0,grapes
29,29,27,32.23,87.46,6.3,200.9,grapes
23,28,28,29.06,91.37,5.78,207.3,grapes
22,38,32,30.33,88.14,5.61,198.43,grapes
19,35,29,31.65,90.9,5.51,191.38,grapes
28,35,28,30.05,88.94,5.63,200.27,grapes
25,34,26,30.85,85.95,6.08,200.75,grapes
21,33,26,30.26,90.41,5.16,201.95,grapes
23,39,27,30.63,88.76,5.33,194.39,grapes
19,30,30,32.0,88.67,5.21,197.67,grapes
28,33,30,30.69,88.94,6.34,214.54,grapes
18,32,28,30.07,88.88,5.84,196.43,grapes
23,39,31,32.33,89.06,5.62,200.99,grapes
25,28,29,29.21,85.54,6.23,199.14,grapes
21,32,32,31.34,88.04,5.43,209.15,grapes
24,38,26,31.39,88.01,5.53,205.98,grapes
28,31,33,32.74,86.74,5.08,200.81,grapes
24,31,29,31.62,91.08,6.09,211.28,grapes
25,29,32,32.65,87.2,6.23,191.52,grapes
25,34,30,32.57,89.81,6.24,189.53,grapes
27,30,26,32.97,87.61,6.16,198.8,grapes
28,28,29,31.51,89.75,5.61,212.51,grapes
28,37,26,31.68,86.77,5.96,197.66,grapes
29,32,27,32.91,91.96,6.36,194.95,grapes
21,34,28,31.69,87.37,6.38,206.19,grapes
28,28,28,29.77,88.49,5.74,210.94,grapes
18,39,26,31.03,89.91,6.32,193.19,grapes
28,38,30,31.88,87.4,5.9,212.31,grapes
23,31,33,29.75,86.82,5.1,197.3,grapes
21,39,33,31.95,90.88,5.25,194.17,grapes
27,29,33,30.1,86.62,6.37,194.64,grapes
29,29,33,30.83,86.95,5.97,195.76,grapes
20,36,27,31.81,87.42,5.68,199.57,grapes
29,33,31,30.13,89.95,5.44,211.13,grapes
23,33,28,31.55,87.75,5.41,204.75,grapes
19,38,31,31.04,89.63,5.44,203.2,grapes
18,33,33,31.64,85.52,5.05,203.45,grapes
24,31,27,31.03,89.05,5.37,198.24,grapes
21,29,30,30.69,88.54,6.44,200.69,grapes
27,39,32,29.72,88.61,5.11,197.24,grapes
22,34,30,30.45,90.94,5.79,195.05,grapes
21,39,33,30.4,85.82,5.22,208.81,grapes
21,39,28,31.87,88.27,5.04,208.85,grapes
22,35,26,31.93,89.14,5.92,195.9,grapes
21,33,32,31.62,86.89,5.49,188.55,grapes
23,39,31,29.49,88.66,5.11,190.72,grapes
18,32,31,29.38,89.62,5.12,194.91,grapes
27,39,30,29.87,88.25,6.46,189.4,grapes
18,38,29,31.49,91.63,6.08,205.24,grapes
29,32,27,30.78,86.26,5.38,205.73,grapes
27,39,27,30.34,86.07,6.44,201.39,grapes
24,31,29,30.93,89.35,6.19,210.89,grapes
20,35,30,30.98,87.3,6.05,205.6,grapes
25,35,32,29.78,88.96,5.16,202.02,grapes
22,31,32,32.23,88.82,5.34,201.69,grapes
22,39,33,29.61,86.16,6.21,208.04,grapes
18,33,33,29.42,89.22,5.87,192.48,grapes
29,33,32,32.32,91.96,6.44,197.75,grapes
21,30,33,29.28,89.53,5.86,208.9,grapes
18,35,31,32.27,87.31,5.57,189.72,grapes
27,36,32,30.52,89.41,5.21,209.67,grapes
27,37,27,31.11,87.15,5.92,203.2,grapes
28,37,31,32.02,91.15,5.08,188.13,grapes
19,29,28,31.05,89.56,6.31,209.21,grapes
20,35,26,32.6,91.21,6.25,198.34,grapes
25,30,30,31.53,91.35,6.03,207.14,grapes
29,33,31,32.17,90.42,5.27,212.59,grapes
26,33,27,29.31,91.17,5.25,195.02,grapes
27,34,27,31.63,88.11,5.67,193.21,grapes
19,38,28,31.62,86.87,6.17,191.11,grapes
26,32,28,32.88,89.02,6.46,208.6,grapes
22,35,31,31.21,85.04,5.86,213.17,grapes
27,37,29,31.66,90.91,5.68,212.93,grapes
